MAPPED_TRAIT_URI	MAPPED_TRAIT	SNPS	STUDY	LINK
http://www.ebi.ac.uk/efo/EFO_0004723, http://www.ebi.ac.uk/efo/EFO_0001360	coronary artery calcification, type II diabetes mellitus	rs35061271	Genome-wide association study of coronary artery calcified atherosclerotic plaque in African Americans with type 2 diabetes.	www.ncbi.nlm.nih.gov/pubmed/29221444
http://www.ebi.ac.uk/efo/EFO_0008378	mosquito bite reaction size measurement	rs143917258	GWAS of self-reported mosquito bite size, itch intensity and attractiveness to mosquitoes implicates immune-related predisposition loci.	www.ncbi.nlm.nih.gov/pubmed/28199695
http://www.ebi.ac.uk/efo/EFO_0007904	susceptibility to childhood ear infection measurement	rs187446457	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0004847, http://www.ebi.ac.uk/efo/EFO_0000249	age at onset, Alzheimers disease	rs117792039	Family-based association analyses of imputed genotypes reveal genome-wide significant association of Alzheimer's disease with OSBPL6, PTPRG, and PDCL3.	www.ncbi.nlm.nih.gov/pubmed/26830138
http://www.ebi.ac.uk/efo/EFO_0004527	mean corpuscular hemoglobin	rs34977459	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004348	hematocrit	rs74035509	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0005106	body composition measurement	rs12432260	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://www.ebi.ac.uk/efo/EFO_0004697	estradiol measurement	rs11548323	TSPYL5 SNPs: association with plasma estradiol concentrations and aromatase expression.	www.ncbi.nlm.nih.gov/pubmed/23518928
http://www.ebi.ac.uk/efo/EFO_0004191	androgenetic alopecia	rs10502861	Six novel susceptibility Loci for early-onset androgenetic alopecia and their unexpected association with common diseases.	www.ncbi.nlm.nih.gov/pubmed/22693459
http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	rs201061212	Genome-wide association study of paliperidone efficacy.	www.ncbi.nlm.nih.gov/pubmed/27846195
http://www.ebi.ac.uk/efo/EFO_0000305	breast carcinoma	rs79518236	Association analysis identifies 65 new breast cancer risk loci.	www.ncbi.nlm.nih.gov/pubmed/29059683
http://www.ebi.ac.uk/efo/EFO_0007578	blood copper measurement	chr16:28771786	Genome-wide association study of toxic metals and trace elements reveals novel associations.	www.ncbi.nlm.nih.gov/pubmed/26025379
http://www.ebi.ac.uk/efo/EFO_0007789, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist circumference, physical activity measurement	rs8055190	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0007627	airway imaging measurement	rs113835537	A Genome-Wide Association Study of Emphysema and Airway Quantitative Imaging Phenotypes.	www.ncbi.nlm.nih.gov/pubmed/26030696
http://www.orpha.net/ORDO/Orphanet_2828	Young adult-onset Parkinsonism	chr16:79360135	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	www.ncbi.nlm.nih.gov/pubmed/28256260
http://www.ebi.ac.uk/efo/EFO_0004527	mean corpuscular hemoglobin	rs73146904	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0007991	eosinophil percentage of leukocytes	rs3006802	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_1001516	ovarian serous carcinoma	rs1400482	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	www.ncbi.nlm.nih.gov/pubmed/28346442
http://www.ebi.ac.uk/efo/EFO_0007869	wellbeing measurement	rs905456	Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.	www.ncbi.nlm.nih.gov/pubmed/27089181
http://www.ebi.ac.uk/efo/EFO_0004847, http://www.ebi.ac.uk/efo/EFO_0000249	age at onset, Alzheimers disease	rs3794318	Family-based association analyses of imputed genotypes reveal genome-wide significant association of Alzheimer's disease with OSBPL6, PTPRG, and PDCL3.	www.ncbi.nlm.nih.gov/pubmed/26830138
http://www.ebi.ac.uk/efo/EFO_0007789	BMI-adjusted waist circumference	rs7166081	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	www.ncbi.nlm.nih.gov/pubmed/28443625
http://www.ebi.ac.uk/efo/EFO_0004326	heart rate	rs11153730	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	www.ncbi.nlm.nih.gov/pubmed/23583979
http://www.ebi.ac.uk/efo/EFO_0004574	total cholesterol measurement	rs4971516	Familial defective apolipoprotein B-100 and increased low-density lipoprotein cholesterol and coronary artery calcification in the old order amish.	www.ncbi.nlm.nih.gov/pubmed/21059979
http://www.ebi.ac.uk/efo/EFO_0004574	total cholesterol measurement	rs182616603	The impact of low-frequency and rare variants on lipid levels.	www.ncbi.nlm.nih.gov/pubmed/25961943
http://www.ebi.ac.uk/efo/EFO_0007800	body fat percentage	rs6857	New loci for body fat percentage reveal link between adiposity and cardiometabolic disease risk.	www.ncbi.nlm.nih.gov/pubmed/26833246
http://www.ebi.ac.uk/efo/EFO_0008002, http://www.ebi.ac.uk/efo/EFO_0004340	physical activity measurement, body mass index	rs17024393	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0004309	platelet count	rs670179	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	intelligence, self reported educational attainment	rs5770820	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	www.ncbi.nlm.nih.gov/pubmed/29326435
http://www.ebi.ac.uk/efo/EFO_0004776	alcohol and nicotine codependence	rs10042968	Genome-wide significant association signals in IPO11-HTR1A region specific for alcohol and nicotine codependence.	www.ncbi.nlm.nih.gov/pubmed/23216389
http://www.ebi.ac.uk/efo/EFO_0004327, http://www.ebi.ac.uk/efo/EFO_0004682	electrocardiography, QT interval	rs10507380	Genome-wide association study of electrocardiographic and heart rate variability traits: the Framingham Heart Study.	www.ncbi.nlm.nih.gov/pubmed/17903306
http://www.ebi.ac.uk/efo/EFO_0000180	HIV-1 infection	rs16948255	Common genetic variation and the control of HIV-1 in humans.	www.ncbi.nlm.nih.gov/pubmed/20041166
http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus	rs459193	Large-scale association analysis provides insights into the genetic architecture and pathophysiology of type 2 diabetes.	www.ncbi.nlm.nih.gov/pubmed/22885922
http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist-hip ratio, physical activity measurement	rs3786897	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist-hip ratio, physical activity measurement	rs2710323	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0004278	sudden cardiac arrest	rs8111071	GWAS for discovery and replication of genetic loci associated with sudden cardiac arrest in patients with coronary artery disease.	www.ncbi.nlm.nih.gov/pubmed/21658281
http://www.ebi.ac.uk/efo/EFO_0007789, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist circumference, physical activity measurement	rs231906	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0007841	facial morphology measurement	rs7679088	Genome-wide association study of facial morphology reveals novel associations with FREM1 and PARK2.	www.ncbi.nlm.nih.gov/pubmed/28441456
http://www.ebi.ac.uk/efo/EFO_0008401	susceptibility to shingles measurement	A*01:01	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0004838	calcium measurement	rs1801725	Genome-wide association study of serum minerals levels in children of different ethnic background.	www.ncbi.nlm.nih.gov/pubmed/25886283
http://www.ebi.ac.uk/efo/EFO_0005922	esophageal squamous cell carcinoma	rs13016963	Joint analysis of three genome-wide association studies of esophageal squamous cell carcinoma in Chinese populations.	www.ncbi.nlm.nih.gov/pubmed/25129146
http://www.ebi.ac.uk/efo/EFO_0000685	rheumatoid arthritis	rs2469434	Genetics of rheumatoid arthritis contributes to biology and drug discovery.	www.ncbi.nlm.nih.gov/pubmed/24390342
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs188120168	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004265, http://www.ebi.ac.uk/efo/EFO_0007908	peripheral arterial disease, traffic air pollution measurement	rs4669572	Genetic Variants in the Bone Morphogenic Protein Gene Family Modify the Association between Residential Exposure to Traffic and Peripheral Arterial Disease.	www.ncbi.nlm.nih.gov/pubmed/27082954
http://www.ebi.ac.uk/efo/EFO_0008378	mosquito bite reaction size measurement	rs3024971	GWAS of self-reported mosquito bite size, itch intensity and attractiveness to mosquitoes implicates immune-related predisposition loci.	www.ncbi.nlm.nih.gov/pubmed/28199695
http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus	rs4607103	Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.	www.ncbi.nlm.nih.gov/pubmed/29358691
http://www.ebi.ac.uk/efo/EFO_0007789, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist circumference, physical activity measurement	rs6892330	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0002690	systemic lupus erythematosus	rs4917014	Genome-wide association study in a Chinese Han population identifies nine new susceptibility loci for systemic lupus erythematosus.	www.ncbi.nlm.nih.gov/pubmed/19838193
http://www.ebi.ac.uk/efo/EFO_0008413	susceptibility to urinary tract infection measurement	rs17720293	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0008377	mosquito bite reaction itch intensity measurement	rs2967678	GWAS of self-reported mosquito bite size, itch intensity and attractiveness to mosquitoes implicates immune-related predisposition loci.	www.ncbi.nlm.nih.gov/pubmed/28199695
http://www.ebi.ac.uk/efo/EFO_0007789, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist circumference, physical activity measurement	rs3116162	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0000409	disease free survival	rs4831837	Genetic correlates of longevity and selected age-related phenotypes: a genome-wide association study in the Framingham Study.	www.ncbi.nlm.nih.gov/pubmed/17903295
http://www.ebi.ac.uk/efo/EFO_0001065	endometriosis	rs60966186	Genome-wide genetic analyses highlight mitogen-activated protein kinase (MAPK) signaling in the pathogenesis of endometriosis.	www.ncbi.nlm.nih.gov/pubmed/28333195
http://www.ebi.ac.uk/efo/EFO_0003829	alcohol dependence	rs12020569	Genomewide association analysis of symptoms of alcohol dependence in the molecular genetics of schizophrenia (MGS2) control sample.	www.ncbi.nlm.nih.gov/pubmed/21314694
http://www.ebi.ac.uk/efo/EFO_0004730, http://www.ebi.ac.uk/efo/EFO_0007004	hormone measurement, progesterone measurement	rs34670419	Genome-wide association study with 1000 genomes imputation identifies signals for nine sex hormone-related phenotypes.	www.ncbi.nlm.nih.gov/pubmed/26014426
http://www.ebi.ac.uk/efo/EFO_0008198	kininogen-1 measurement	rs5030049	Connecting genetic risk to disease end points through the human blood plasma proteome.	www.ncbi.nlm.nih.gov/pubmed/28240269
http://www.ebi.ac.uk/efo/EFO_0000305	breast carcinoma	rs4865169	Association analysis identifies 65 new breast cancer risk loci.	www.ncbi.nlm.nih.gov/pubmed/29059683
http://www.ebi.ac.uk/efo/EFO_0004195	LDL cholesterol	chr4:74793806	Common, low-frequency, and rare genetic variants associated with lipoprotein subclasses and triglyceride measures in Finnish men from the METSIM study.	www.ncbi.nlm.nih.gov/pubmed/29084231
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs376898975	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0007009	skin pigmentation measurement	rs2524069	A genome-wide association study in Caucasian women suggests the involvement of HLA genes in the severity of facial solar lentigines.	www.ncbi.nlm.nih.gov/pubmed/27327535
http://www.ebi.ac.uk/efo/EFO_0007835	alcohol dependence measurement	rs6532815	Genome-wide association study of alcohol dependence:significant findings in African- and European-Americans including novel risk loci.	www.ncbi.nlm.nih.gov/pubmed/24166409
http://www.ebi.ac.uk/efo/EFO_0000305	breast carcinoma	rs111549985	Association analysis identifies 65 new breast cancer risk loci.	www.ncbi.nlm.nih.gov/pubmed/29059683
http://www.ebi.ac.uk/efo/EFO_0004584	mean platelet volume	rs3215853	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist-hip ratio, physical activity measurement	rs2645294	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0007681, http://purl.obolibrary.org/obo/GO_1903491, http://www.ebi.ac.uk/efo/EFO_0001360, http://purl.obolibrary.org/obo/GO_1901557	triglyceride change measurement, response to simvastatin, type II diabetes mellitus, response to fenofibrate	rs62056376	Genetic Variants in HSD17B3, SMAD3, and IPO11 Impact Circulating Lipids in Response to Fenofibrate in Individuals With Type 2 Diabetes.	www.ncbi.nlm.nih.gov/pubmed/28736931
http://www.ebi.ac.uk/efo/EFO_0003047, http://www.ebi.ac.uk/efo/EFO_0001422	hepatitis C infection, cirrhosis of liver	rs883924	Genome-wide association study identifies variants associated with progression of liver fibrosis from HCV infection.	www.ncbi.nlm.nih.gov/pubmed/22841784
http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	rs17416314	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	www.ncbi.nlm.nih.gov/pubmed/29228715
http://www.ebi.ac.uk/efo/EFO_0007789, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist circumference, physical activity measurement	rs7628338	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
